MENS,Cream/Black/Turqoise,1987,Cream/Black/Turqoise,Turbo BG,Patrick
MENS,Navy/Silver,1987,Navy/Silver,Solo,KARHU
MENS,White/navy,1987,White/navy,Avante,KARHU
MENS,White/Black/Red,1987,Black Cat,Cat,PUMA
MENS,White/Natural,1988,White,Air/Commander,NIKE
MENS,Natural/White/Wine,1988,White/Wine,Wimbledon Classic,NIKE
MENS,White/Black,1988,Black,Court Force Low,NIKE
MENS,Royal Blue/Yellow/White/Dark Pink/Lime Green,1988,Royal Blue/Dark Pink,Outbreak High,NIKE
WOMENS,White/Green/White/Maroon,1988,Green/Maroon,Stamina,NIKE
MENS,White/Natural/Black/Black,1988,White/Black,Field Commander,NIKE
MENS,White/Tech Grey/White/Dark Royal Blue,1988,Tech Grey/Dark Royal Blue,Air Delta Force 3/4,NIKE
MENS,White/Capri Blue/Yellow,1988,Capri Blue,Air Ace 3/4,NIKE
MENS,White/Royal Blue/White/Red,1988,Royal Blue/Red,Air Alpha Force Low,NIKE
MENS,White/Royal Blue/White/Tech Grey,1988,Royal Blue/Tech Grey,Air Revolution,NIKE
MENS,White/Royal Blue/Black/White/Black/Purple Passion,1988,Royal Blue/Black,Sky Force Low,NIKE
MENS,White/Royal Blue/Black,1988,Royal Blue,Smoke,NIKE
WOMENS,White/Orange/White/Gold,1988,Orange/Gold,Stamina,NIKE
WOMENS,White/Purple/White/Red,1988,Purple/Red,Precision D,NIKE
WOMENS,White/Purple/White/Red,1988,Purple/Red,Stamina,NIKE
MENS,Red/White/Black/White,1988,Red/Black,Greco Supreme,NIKE
MENS,Pillowcase/Forest Green,1988,Forest Green,Air Max 1 Leather,NIKE
WOMENS,White/Sea Mist/White/Tile,1988,Sea Mist/Tile,Court Lite Leather,NIKE
MENS,Royal Blue/Yellow/Black/White,1988,Yellow/Black/White,Outbreak High,NIKE
MENS,White/Columbia Blue/Tech Grey,1988,Columbia Blue,Return AC,NIKE
MENS,White/White/Cosmic Blue/Black/Black/Red,1988,Cosmic Blue/Red,Rake AC,NIKE
WOMENS,White/Maroon/White/Silver,1988,Maroon/Silver,Precision D,NIKE
MENS,White/Navy/White/Green,1988,Navy/Green,All Court (Leather),NIKE
WOMENS,Pillowcase/Apricot,1988,Pillowcase/Apricot,Capri,NIKE
MENS,WhiteSilver/Midnight Blue,1988,Midnight Blue,Air Windrunner,NIKE
MENS,Royal Blue/White,1988,Royal Blue,Combatant,NIKE
MENS,White/Natural/White/Navy Blue,1988,Natural/Navy Blue,All Court (Canvas),NIKE
MENS,Citron Yellow/Light Blue,1988,Citron Yellow,Aqua Sock,NIKE
MENS,Natural/Green/White/Navy Blue,1988,Natural/Green/Navy Blue,Wimbledon Classic,NIKE
MENS,White/Royal Blue/YellowCerise,1988,Royal Blue,Zoom Ultra,NIKE
WOMENS,White/Perf,1988,White/Perf,Leather Cortez Light,NIKE
MENS,White/Dk Tech Grey/Maroon/Dk Tech Grey,1988,Maroon/Dk Tech Grey,Air Assault High,NIKE
WOMENS,White/Purple Passion,1988,Purple Passion,Air Cross Trainer Low,NIKE
MENS,Black/White/Tech Grey/White/Red,1988,Black/White/Red,Air Delta Force High,NIKE
WOMENS,White/Light Grey/Dark Blue/White/Light Grey/Rosestone,1988,Dark Blue/Rosestone,Air Trainer TW,NIKE
WOMENS,White/Fire Red,1988,White/Fire Red,Streamline,NIKE
MENS,White/Natural/White/Red,1988,Natural/Red,Court Force High,NIKE
WOMENS,White/Lilac Ice/White/Light Carnation,1988,Lilac Ice/Light Carnation,Court Lite Canvas,NIKE
MENS,White/Caribbean Blue/Gold,1988,Caribbean Blue,Internationalist,NIKE
MENS,White/Natural,1988,Natural,Bruin Canvas,NIKE
WOMENS,White/Red/Royal Blue/White/Powder Blue,1988,Red/Powder Blue,Leather Cortez Light,NIKE
WOMENS,White/Lilac/Mint/White/Confetti Pink/Mist Blue,1988,Lilac/Confetti Pink,Fitcourt,NIKE
WOMENS,White/Flamingo,1988,Flamingo,Air Walker Max,NIKE
MENS,White/Black,1988,White/Black,Court Force Low,NIKE
MENS,WhiteBr. Royal Blue/Flourescent Pink/Yellow/WhiteTurquoise/Navy Blue,1988,Fluorescent Pink/Turqoise,Zoom Street,NIKE
MENS,White/Indigo Blue/White/Light Neutral Grey,1988,Indigo Blue/Light Neutral Grey,Air Walker Plus,NIKE
MENS,White/Royal Blue/Black,1988,Royal,High Jump '88,NIKE
MENS,White/Red/Aquatime/Tech Grey/Dark Teal Blue/Bus Yellow,1988,Red/Dark Teal Blue,Air Pegasus,NIKE
MENS,Stone/Slate/Wine/Slate,1988,Stone/Wine,Outbreak High,NIKE
MENS,White/White/White/Gold,1988,White/Gold,Aerospike,NIKE
WOMENS,White/Light Grey/Fuschia/White/Light Grey/Thistle Blue,1988,Fuschia/Thistle Blue,Cross Trainer High,NIKE
MENS,White/Natural/White/Dark Royal Blue,1988,Natural/Dark Royal Blue,Penetrator GT Low,NIKE
MENS,Black/White,1988,Black/White,Outbreak High,NIKE
MENS,Black/White/White/Navy Blue/Fire Red,1988,Black/White/Navy Blue/Fire Red,Court Force High,NIKE
MENS,White/Cement Grey,1988,White/Cement Grey,Air Jordan III,JORDAN
MENS,WhiteBlack/Blue,1988,Blue,CC/X,NIKE
MENS,Silver/Light Neutral Grey/Slate,1988,Silver,Air Support,NIKE
MENS,White/Navy Blue/Fire Red/White/Charcoal/Teal BlueFire Red,1988,Navy Blue/Fire Red/Teal Blue,Court Force Low,NIKE
WOMENS,White/Black,1988,White/Black,Air Protector Plus,NIKE
WOMENS,White/Mint Ice/White/Lilac Ice,1988,Mint Ice/Lilac Ice,Intensity Plus,NIKE
WOMENS,Gris/Rose/Ciel,1988,Rose,Hawaii,PUMA
MENS,White/Navy Blue/Fire Red/White/Charcoal/Teal Blue Fire Red,1988,Navy Blue/Teal Blue,Court Force High,NIKE
MENS,White/Tech Grey/Charcoal/White/Red/Tech Grey,1988,Charcoal/Red,Sky Force High,NIKE
MENS,Paris Blue/Electric Pink/Turquoise/Clockwork Orange,1988,Electric Pink/Clockwork Orange,Outbreak High,NIKE
MENS,White/Natural,1988,Natural,Volley,NIKE
WOMENS,White/December Sky/White/Cloudy Jade,1988,December Sky/Cloudy Jade,Air Cross Trainer Low,NIKE
MENS,Light SilverTech Grey/Black/Royal Blue,1988,Royal Blue,Waffle Trainer AC,NIKE
MENS,White/Navy Blue/Medicine Ball,1988,Medicine Ball,Air Trainer SC,NIKE
WOMENS,White/White,1988,White,Wimbledon Classic,NIKE
MENS,White/Medium Grey/Fire Red/White/Medium Grey/Black,1988,Fire Red/Black,Air Cross Trainer Low,NIKE
WOMENS,White/Flamingo,1988,Flamingo,Applause,NIKE
MENS,White/Red/Blue,1988,USA,ERX 300,CONVERSE
MENS,White (Perf)/Silver/White/Red/Royal Blue,1988,White (Perf)/Red,Leather Cortez,NIKE
WOMENS,WhiteLight Neutral Grey/Paris Blue,1988,Paris Blue,Waffle Trainer AC,NIKE
WOMENS,Black/Charocoal/White/Green,1988,Black/Green,Air Walker Plus,NIKE
WOMENS,White/Black,1988,White/Black,Air Performer Plus,NIKE
WOMENS,Black/Charcoal/White/Raspberry,1988,Black/Raspberry,Air Walker Plus,NIKE
WOMENS,White/Royal Blue/Orange/Light Grey/Aqua/Orange,1988,Royal Blue/Aqua,Waffle Sandal,NIKE
WOMENS,WhiteLight Neutral Grey/Aqua/Thistle/WhiteLight Neutral Grey/Flamingo,1988,Aqua/Thistle/Flamingo,Air Max 1,NIKE
WOMENS,White/Emerald/White/Ice Blue,1988,Emeral/Ice Blue,Fitcourt,NIKE
WOMENS,Natural/Lilac/Natural/Malva,1988,Lilac/Malva,Wimbledon Classic,NIKE
MENS,WhiteLight Neutral Grey/Navy Blue/Red/WhiteLight Neutral Grey/Max Orange/Navy,1988,Navy Blue/Max Orange,Air Max 1,NIKE
WOMENS,White/Sea Shell/White/Sea Mist,1988,Sea Shell/Sea Mist,Wimbledon Classic,NIKE
MENS,WhiteBlack/Mint Julep,1988,Mint Julep,Duellist,NIKE
WOMENS,White/Light Neutral Grey/Light Royal Blue/White/Aqua/Thistle,1988,Light Royal Blue/Aqua/Thistle,Air Max 1,NIKE
MENS,WhiteChina Blue/Clockwork Orange,1988,Clockwork Orange,Air Mariah,NIKE
MENS,White/Light Grey/Medium Grey/Red,1988,Red,Cross Trainer High,NIKE
WOMENS,Black/Purple Haze,1988,Purple Haze,Nike Street Trek,NIKE
MENS,White/Evergreen,1988,Evergreen,Leather Cortez,NIKE
MENS,White/Dark Royal Blue,1988,Dark Royal Blue,Court Force High,NIKE
MENS,Black/Black,1988,Black,Judgment,NIKE
MENS,White/Light Sand/Pre Green/Royal Navy,1988,Pre Green,Air Stab,NIKE
