  julian_date mpsi  mwsi
 j1014.229  1.6423939  0.3144603
 j1016.203  1.3591950  0.1192739
 j1020.243  0.9949512  0.1817793
 j1022.192  0.9903787  0.1857435
 j1023.281  1.0933410  0.2275408
 j1025.276  0.9157360  0.1625274
 j1026.257  1.0530740  0.1671604
 j1028.304  1.6869930  0.2290473
 j1029.313  1.5493600  0.1186504
 j1031.317  1.2753900  0.0866020
 j1032.239  1.3444980  0.1305471
 j1033.279  1.1286130  0.1077192
 j1035.426  0.9009582  0.0241367
 j1039.185  0.7532698  0.1176294
 j1040.218  0.9855146  0.1778538
 j1041.212  0.9436034  0.2047945
 j1042.218  1.1011810  0.2181678
 j1043.190  0.7164967  0.1873488
 j1044.226  0.9105146  0.2454661
 j1045.250  0.9942617  0.1743290
 j1049.241  1.0874259  0.1754470
 j1050.319  1.3805590  0.2195553
 j1051.305  1.3295799  0.1251542
 j1052.302  1.1501230  0.0626521
 j1053.303  1.5988290  0.1481661
 j1054.257  1.8219680  0.3171732
 j1057.231  2.1234300  0.8673967
 j1058.317  2.4220419  1.1719590
 j1064.217  1.4100291  0.1006974
 j1065.160  1.2466750  0.0094846
 j1069.179  0.9942466  0.2286168
 j1071.165  0.8415902  0.1369816
 j1074.209  1.1176610  0.1235844
 j1081.225  1.1250510  0.3488944
 j1082.282  1.6930280  0.4585961
 j1084.264  1.8997149  0.1662670
 j1085.337  1.8789181  0.2258695
 j1086.186  2.1789410  0.3761354
 j1087.198  2.2321169  0.3852825
 j1088.439  2.1752670  0.2262885
 j1089.285  1.9782420  0.1351788
 j1090.204  1.5138650  0.1623664
 j1091.200  1.2733520  0.0630108
 j1092.279  1.1823910  0.0523236
 j1094.170  0.6557513  0.0000000
 j1095.169  0.5290859  0.0000000
 j1096.162  0.5900453  0.0099963
 j1097.157  0.5671790  0.1015735
 j1098.162  0.5772326  0.1731066
 j1101.162  0.7385635  0.2668430
 j1107.272  1.3646420  0.1420090
 j1108.236  1.3764920  0.1490329
 j1109.458  1.7551920  0.2091933
 j1111.196  1.3527430  0.1022348
 j1112.185  0.9525716  0.0526802
 j1114.159  0.8616946  0.0220790
 j1115.197  0.7452039  0.0295935
 j1116.457  0.8788706  0.0350337
 j1117.188  0.5592355  0.0000000
 j1118.245  0.5964303  0.0000000
 j1119.185  0.3887841  0.0000000
 j1120.254  0.6350229  0.0099466
 j1121.225  0.6067979  0.0223861
 j1122.182  0.8175991  0.0426431
 j1123.238  0.9808071  0.0662238
 j1124.213  0.8248943  0.0434239
 j1125.247  0.8849034  0.0522468
 j1127.218  1.1218730  0.1163993
 j1128.229  1.0579081  0.1315452
 j1129.221  1.1662101  0.1860187
 j1130.150  1.2083950  0.1555058
 j1131.171  1.4279350  0.4043440
 j1132.145  1.2027880  0.3068638
 j1133.136  1.5696940  0.9747379
 j1134.471  1.4962690  0.6583019
 j1135.175  1.6501880  0.7753736
 j1136.447  1.3500381  0.5909821
 j1137.219  1.7809600  0.9174548
 j1138.281  1.2275770  0.2731958
 j1139.179  1.2598970  0.4190478
 j1140.223  1.2325910  0.2541009
 j1141.211  0.7998686  0.0434278
 j1142.225  0.7395632  0.0309026
 j1143.243  0.9085958  0.1682260
 j1144.243  1.0154060  0.3268763
 j1145.171  0.9048089  0.1934591
 j1146.238  0.7488849  0.1560767
 j1147.201  0.9341077  0.2480253
 j1148.228  1.1512480  0.7432983
 j1149.158  1.0651571  0.4626770
 j1151.140  1.3788770  0.4493606
 j1153.152  1.5707910  0.4842997
 j1155.145  1.2802470  0.1791146
 j1156.142  1.1458960  0.2327609
 j1158.204  1.1305521  0.1938794
 j1159.493  1.0564190  0.1107899
 j1160.456  1.2246710  0.1998628
 j1162.475  1.5914479  0.3198155
 j1163.515  1.2417550  0.3015973
 j1164.167  1.3014950  0.2174281
 j1165.185  1.2157050  0.1526143
 j1166.193  1.4951630  0.1022401
 j1167.479  1.1546611  0.0211397
 j1168.446  0.9991070  0.0141534
 j1169.345  1.0876499  0.1291589
 j1170.192  1.1947750  0.1888425
 j1171.178  1.0188160  0.1939498
 j1172.471  1.6911250  0.7475787
 j1173.193  1.7886320  0.7630593
 j1174.202  0.9741747  0.2364771
 j1176.177  0.7780404  0.0639334
 j1178.139  0.6997151  0.0000000
 j1179.407  0.7895441  0.0424949
 j1180.155  0.5934802  0.0209166
 j1181.151  0.7232207  0.0641213
 j1182.147  0.9039097  0.1971764
 j1183.149  0.8954799  0.5137229
 j1184.243  1.0006100  0.7772673
 j1185.206  0.9170301  0.7712150
 j1186.216  0.9442892  0.8511009
 j1187.228  1.2170740  1.0855950
 j1188.221  1.3506711  0.9810531
 j1194.346  0.9747912  0.0543422
 j1195.212  0.5123832  0.0091738
 j1196.441  1.2801530  0.0106851
 j1197.189  1.0515260  0.0361511
 j1198.212  1.4796680  0.2568750
 j1199.212  1.0818580  0.2164726
 j1200.449  1.1088860  0.3418972
 j1202.146  0.9928485  0.3360499
 j1203.138  1.1215460  0.2270514
 j1204.139  0.6471581  0.0094344
 j1206.170  0.5117068  0.0101954
 j1207.171  0.7032071  0.0554694
 j1208.216  0.9761974  0.1469365
 j1209.148  1.0163430  0.2310513
 j1210.166  1.2710900  0.4124796
 j1211.258  1.3995590  0.4019558
 j1212.426  1.4844210  1.2163770
 j1213.202  1.7112100  0.4405519
 j1214.307  1.8519220  0.3607481
 j1215.202  1.9365000  0.3970743
 j1216.209  1.7494160  0.2400195
 j1217.260  1.7544990  0.1578795
 j1219.433  1.2463150  0.0903780
 j1220.184  0.9169986  0.1547570
 j1222.499  1.0558530  0.2169330
 j1224.252  1.2325020  0.2881877
 j1226.211  1.2711070  0.5234743
 j1227.291  1.4719870  0.5979098
 j1228.237  1.3171400  0.2780178
 j1229.267  0.8560730  0.1272352
