 971012  6495.50  1365.8388
 971013  6496.50  1365.7822
 971014  6497.50  1365.7560
 971015  6498.50  1365.6984
 971016  6499.50  1365.6210
 971017  6500.50  1365.6372
 971018  6501.50  1365.6853
 971019  6502.50  1365.6740
 971020  6503.50  1365.6794
 971021  6504.50  1365.6839
 971022  6505.50  1365.7168
 971023  6506.50  1365.7411
 971024  6507.50  1365.7236
 971025  6508.50  1365.7472
 971026  6509.50  1365.7553
 971027  6510.50  1365.7554
 971028  6511.50  1365.7805
 971029  6512.50  1365.6857
 971030  6513.50  1365.5844
 971031  6514.50  1365.6003
 971101  6515.50  1365.6121
 971102  6516.50  1365.5941
 971103  6517.50  1365.2242
 971104  6518.50  1365.2577
 971105  6519.50  1365.3499
 971106  6520.50  1365.5693
 971107  6521.50  1365.7530
 971108  6522.50  1365.8390
 971109  6523.50  1365.8547
 971110  6524.50  1365.8075
 971111  6525.50  1365.7127
 971112  6526.50  1365.6667
 971113  6527.50  1365.6535
 971114  6528.50  1365.7163
 971115  6529.50  1365.6588
 971116  6530.50  1365.5995
 971117  6531.50  1365.4921
 971118  6532.50  1365.3825
 971119  6533.50  1365.3688
 971120  6534.50  1365.4155
 971121  6535.50  1365.3703
 971122  6536.50  1365.4512
 971123  6537.50  1365.7394
 971124  6538.50  1365.9794
 971125  6539.50  1366.0662
 971126  6540.50  1366.0114
 971127  6541.50  1365.9631
 971128  6542.50  1365.8796
 971129  6543.50  1365.7615
 971130  6544.50  1365.6542
 971201  6545.50  1365.5667
 971202  6546.50  1365.5485
 971203  6547.50  1365.6379
 971204  6548.50  1365.7019
 971205  6549.50  1365.7668
 971206  6550.50  1365.9068
 971207  6551.50  1365.8965
 971208  6552.50  1365.8710
 971209  6553.50  1365.6771
 971210  6554.50  1365.5753
 971211  6555.50  1365.5872
 971212  6556.50  1365.6290
 971213  6557.50  1365.6747
 971214  6558.50  1365.7083
 971215  6559.50  1365.6832
 971216  6560.50  1365.6292
 971217  6561.50  1365.6024
 971218  6562.50  1365.5328
 971219  6563.50  1365.5613
 971220  6564.50  1365.7193
 971221  6565.50  1365.8463
 971222  6566.50  1365.7438
 971223  6567.50  1365.6211
 971224  6568.50  1365.6551
 971225  6569.50  1365.6529
 971226  6570.50  1365.6841
 971227  6571.50  1365.7198
 971228  6572.50  1365.7381
 971229  6573.50  1365.7617
 971230  6574.50  1365.8045
 971231  6575.50  1365.9189
 980101  6576.50  1365.9416
 980102  6577.50  1365.9601
 980103  6578.50  1365.9800
 980104  6579.50  1365.9852
 980105  6580.50  1365.8917
 980106  6581.50  1365.8181
 980107  6582.50  1365.7555
 980108  6583.50  1365.7402
 980109  6584.50  1365.7217
 980110  6585.50  1365.7514
 980111  6586.50  1365.7315
 980112  6587.50  1365.6567
 980113  6588.50  1365.5616
 980114  6589.50  1365.5521
 980115  6590.50  1365.5562
 980116  6591.50  1365.6229
 980117  6592.50  1365.7861
 980118  6593.50  1365.9677
 980119  6594.50  1365.9943
 980120  6595.50  1365.9666
 980121  6596.50  1365.9329
 980122  6597.50  1365.9650
 980123  6598.50  1365.9884
 980124  6599.50  1365.9428
 980125  6600.50  1365.9220
 980126  6601.50  1365.8712
 980127  6602.50  1365.8820
 980128  6603.50  1365.8670
 980129  6604.50  1365.8701
 980130  6605.50  1365.8729
 980131  6606.50  1365.8334
 980201  6607.50  1365.8322
 980202  6608.50  1365.7948
 980203  6609.50  1365.7689
 980204  6610.50  1365.6940
 980205  6611.50  1365.6917
 980206  6612.50  1365.7275
 980207  6613.50  1365.7546
 980208  6614.50  1365.7243
 980209  6615.50  1365.6890
 980210  6616.50  1365.7108
 980211  6617.50  1365.7583
 980212  6618.50  1365.6965
 980213  6619.50  1365.5891
 980214  6620.50  1365.4882
 980215  6621.50  1365.3840
 980216  6622.50  1365.3763
 980217  6623.50  1365.4255
 980218  6624.50  1365.5508
 980219  6625.50  1365.7238
 980220  6626.50  1365.8784
 980221  6627.50  1366.0020
 980222  6628.50  1366.0416
 980223  6629.50  1365.9962
 980224  6630.50  1365.9056
 980225  6631.50  1365.8298
 980226  6632.50  1365.8127
 980227  6633.50  1365.8694
 980228  6634.50  1365.8416
 980301  6635.50  1365.7025
 980302  6636.50  1365.5894
 980303  6637.50  1365.4847
 980304  6638.50   -99.0000
 980305  6639.50   -99.0000
 980306  6640.50  1365.6531
 980307  6641.50  1365.6762
