time,mg_index
2450878.0,0.26603
2450879.0,0.26652
2450880.0,0.26632
2450881.0,0.26701
2450882.0,0.26691
2450883.0,0.26847
2450884.0,0.26857
2450885.0,0.26847
2450886.0,0.26930
2450887.0,0.26961
2450888.0,0.26958
2450889.0,0.26954
2450890.0,0.26906
2450891.0,0.26974
2450892.0,0.26974
2450893.0,0.26984
2450894.0,0.26925
2450895.0,0.26974
2450896.0,0.27003
2450897.0,0.27032
2450898.0,0.27013
2450899.0,0.26993
2450900.0,0.26886
2450901.0,0.26935
2450902.0,0.26867
2450903.0,0.26828
2450904.0,0.26720
2450905.0,0.26798
2450906.0,0.26818
2450907.0,0.26808
2450908.0,0.26876
2450909.0,0.26964
2450910.0,0.27140
2450911.0,0.27237
2450912.0,0.27364
2450913.0,0.27433
2450914.0,0.27423
2450915.0,0.27364
2450916.0,0.27403
2450917.0,0.27325
2450918.0,0.27264
2450919.0,0.27023
2450920.0,0.27060
2450921.0,0.26974
2450922.0,0.26916
2450923.0,0.26808
2450924.0,0.26808
2450925.0,0.26769
2450926.0,0.26749
2450927.0,0.26749
2450928.0,0.26779
2450929.0,0.26808
2450930.0,0.26798
2450931.0,0.26837
2450932.0,0.26857
2450933.0,0.26779
2450934.0,0.26896
2450935.0,0.26915
2450936.0,0.26896
2450937.0,0.26993
2450938.0,0.27120
2450939.0,0.27120
2450940.0,0.27081
2450941.0,0.27013
2450942.0,0.27111
2450943.0,0.27091
2450944.0,0.27150
2450945.0,0.27062
2450946.0,0.27140
2450947.0,0.27179
2450948.0,0.27150
2450949.0,0.27081
2450950.0,0.26993
2450951.0,0.27013
2450952.0,0.26925
2450953.0,0.26906
2450954.0,0.26896
2450955.0,0.26906
2450956.0,0.26837
2450957.0,0.26808
2450958.0,0.26759
2450959.0,0.26847
2450960.0,0.26896
2450961.0,0.26818
2450962.0,0.26857
2450963.0,0.26818
2450964.0,0.26857
2450965.0,0.26906
2450966.0,0.26925
2450967.0,0.27013
2450968.0,0.27032
2450969.0,0.27120
2450970.0,0.27140
2450971.0,0.27111
2450972.0,0.27169
2450973.0,0.27120
2450974.0,0.27159
2450975.0,0.27130
2450976.0,0.27032
2450977.0,0.27071
2450978.0,0.26993
2450979.0,0.26837
2450980.0,0.27091
2450981.0,0.27052
2450982.0,0.26984
2450983.0,0.26993
2450984.0,0.26964
2450985.0,0.26915
2450986.0,0.26818
2450987.0,0.26808
2450988.0,0.26779
2450989.0,0.26867
2450990.0,0.26925
2450991.0,0.27032
2450992.0,0.27150
2450993.0,0.27159
2450994.0,0.27189
2450995.0,0.27355
2450996.0,0.27345
2450997.0,0.27374
2450998.0,0.27472
2450999.0,0.27423
2451000.0,0.27267
2451001.0,0.27237
2451002.0,0.27276
2451003.0,0.27208
2451004.0,0.27208
2451005.0,0.27130
2451006.0,0.27189
2451007.0,0.27140
2451008.0,0.27140
2451009.0,0.27130
2451010.0,0.27130
2451011.0,0.27091
2451012.0,0.27071
2451013.0,0.27023
2451014.0,0.27003
2451015.0,0.27062
2451016.0,0.27023
2451017.0,0.27042
2451018.0,0.27042
2451019.0,0.27052
2451020.0,0.27081
2451021.0,0.27150
2451022.0,0.27257
2451023.0,0.27267
2451024.0,0.27335
2451025.0,0.27208
2451026.0,0.27228
2451027.0,0.27257
2451028.0,0.27257
2451029.0,0.27208
2451030.0,0.27247
2451031.0,0.27189
2451032.0,0.27306
2451033.0,0.27403
2451034.0,0.27374
2451035.0,0.27394
2451036.0,0.27394
2451037.0,0.27403
2451038.0,0.27394
2451039.0,0.27286
2451040.0,0.27237
2451041.0,0.27189
2451042.0,0.27101
2451043.0,0.27140
2451044.0,0.27111
2451045.0,0.27111
2451046.0,0.27208
2451047.0,0.27296
2451048.0,0.27374
2451049.0,0.27286
2451050.0,0.27247
2451051.0,0.27442
2451052.0,0.27413
2451053.0,0.27540
2451054.0,0.27452
2451055.0,0.27481
2451056.0,0.27442
2451057.0,0.27403
2451058.0,0.27325
2451059.0,0.27247
2451060.0,0.27325
2451061.0,0.27335
2451062.0,0.27433
2451063.0,0.27462
2451064.0,0.27511
2451065.0,0.27394
2451066.0,0.27335
2451067.0,0.27345
2451068.0,0.27315
2451069.0,0.27237
2451070.0,0.27140
2451071.0,0.27101
2451072.0,0.27071
2451073.0,0.27120
2451074.0,0.27159
2451075.0,0.27267
2451076.0,0.27364
2451077.0,0.27462
2451078.0,0.27442
2451079.0,0.27491
2451080.0,0.27315
2451081.0,0.27374
2451082.0,0.27325
2451083.0,0.27345
2451084.0,0.27208
2451085.0,0.27179
2451086.0,0.27120
2451087.0,0.27218
2451088.0,0.27228
2451089.0,0.27218
2451090.0,0.27257
2451091.0,0.27296
2451092.0,0.27364
2451093.0,0.27306
2451094.0,0.27276
2451095.0,0.27257
2451096.0,0.27306
2451097.0,0.27198
2451098.0,0.27218
2451099.0,0.27159
2451100.0,0.27179
2451101.0,0.27208
2451102.0,0.27296
2451103.0,0.27325
2451104.0,0.27267
2451105.0,0.27286
2451106.0,0.27159
2451107.0,0.27169
2451108.0,0.27091
2451109.0,0.27091
2451110.0,0.27091
2451111.0,0.26974
2451112.0,0.26935
2451113.0,0.26886
2451114.0,0.26925
2451115.0,0.27023
2451116.0,0.27081
2451117.0,0.27130
2451118.0,0.27267
2451119.0,0.27208
2451120.0,0.27355
2451121.0,0.27501
2451122.0,0.27628
2451123.0,0.27520
2451124.0,0.27394
2451125.0,0.27355
2451126.0,0.27325
2451127.0,0.27257
2451128.0,0.27257
2451129.0,0.27267
2451130.0,0.27306
2451131.0,0.27267
2451132.0,0.27257
2451133.0,0.27218
2451134.0,0.27150
2451135.0,0.27120
2451136.0,0.27140
