time,LymanAlpha,type
1998288,4.43,1
1998289,4.48,1
1998290,4.50,1
1998291,4.47,1
1998292,4.44,1
1998293,4.39,1
1998294,4.34,1
1998295,4.29,1
1998296,4.27,1
1998297,4.26,1
1998298,4.26,1
1998299,4.25,1
1998300,4.24,1
1998301,4.25,1
1998302,4.32,1
1998303,4.40,1
1998304,4.49,1
1998305,4.52,1
1998306,4.55,1
1998307,4.64,1
1998308,4.79,1
1998309,4.90,1
1998310,4.89,1
1998311,4.81,1
1998312,4.72,1
1998313,4.63,1
1998314,4.56,1
1998315,4.51,1
1998316,4.51,1
1998317,4.51,1
1998318,4.51,1
1998319,4.48,1
1998320,4.42,1
1998321,4.37,1
1998322,4.36,1
1998323,4.39,1
1998324,4.39,1
1998325,4.35,1
1998326,4.32,1
1998327,4.34,1
1998328,4.42,1
1998329,4.53,1
1998330,4.65,1
1998331,4.76,1
1998332,4.83,1
1998333,4.86,1
1998334,4.91,1
1998335,4.97,1
1998336,5.00,1
1998337,4.96,1
1998338,4.86,1
1998339,4.75,1
1998340,4.65,1
1998341,4.61,1
1998342,4.58,1
1998343,4.55,1
1998344,4.53,1
1998345,4.50,1
1998346,4.48,1
1998347,4.46,1
1998348,4.44,1
1998349,4.45,1
1998350,4.48,1
1998351,4.49,1
1998352,4.47,1
1998353,4.44,1
1998354,4.43,1
1998355,4.46,1
1998356,4.51,1
1998357,4.54,1
1998358,4.56,1
1998359,4.49,1
1998360,4.50,1
1998361,4.54,1
1998362,4.66,1
1998363,4.74,1
1998364,4.81,1
1998365,4.84,1
1999001,4.77,1
1999002,4.69,1
1999003,4.62,1
1999004,4.58,1
1999005,4.54,1
1999006,4.49,1
1999007,4.44,1
1999008,4.36,1
1999009,4.33,1
1999010,4.30,1
1999011,4.33,1
1999012,4.37,1
1999013,4.43,1
1999014,4.48,1
1999015,4.54,1
1999016,4.61,1
1999017,4.69,1
1999018,4.78,1
1999019,4.89,1
1999020,4.99,1
1999021,5.04,1
1999022,5.04,1
1999023,5.05,1
1999024,5.02,1
1999025,4.97,1
1999026,4.94,1
1999027,4.91,1
1999028,4.89,1
1999029,4.82,1
1999030,4.76,1
1999031,4.69,1
1999032,4.59,1
1999033,4.47,1
1999034,4.38,1
1999035,4.31,1
1999036,4.27,1
1999037,4.23,1
1999038,4.23,1
1999039,4.26,1
1999040,4.33,1
1999041,4.42,1
1999042,4.53,1
1999043,4.66,1
1999044,4.83,1
1999045,4.95,1
1999046,5.05,1
1999047,5.10,1
1999048,5.14,1
1999049,5.11,1
1999050,5.07,1
1999051,4.98,1
1999052,4.87,1
1999053,4.76,1
1999054,4.70,1
1999055,4.66,1
1999056,4.62,1
1999057,4.54,1
1999058,4.46,1
1999059,4.37,1
1999060,4.35,1
1999061,4.33,1
1999062,4.31,1
1999063,4.28,1
1999064,4.28,1
1999065,4.30,1
1999066,4.35,1
1999067,4.41,1
1999068,4.49,1
1999069,4.60,1
1999070,4.70,1
1999071,4.77,1
1999072,4.83,1
1999073,4.89,1
1999074,4.93,1
1999075,4.93,1
1999076,4.91,1
1999077,4.84,1
1999078,4.76,1
1999079,4.65,1
1999080,4.55,1
1999081,4.48,1
1999082,4.45,1
1999083,4.40,1
1999084,4.35,1
1999085,4.30,1
1999086,4.31,1
1999087,4.33,1
1999088,4.35,1
1999089,4.34,1
1999090,4.33,1
1999091,4.28,1
1999092,4.27,1
1999093,4.27,1
1999094,4.32,1
1999095,4.37,1
1999096,4.44,1
1999097,4.51,1
1999098,4.57,1
1999099,4.64,1
1999100,4.70,1
1999101,4.77,1
1999102,4.81,1
1999103,4.79,1
1999104,4.73,1
1999105,4.63,1
1999106,4.54,1
1999107,4.47,1
1999108,4.40,1
1999109,4.34,1
1999110,4.27,1
1999111,4.21,1
1999112,4.17,1
1999113,4.16,1
1999114,4.17,1
1999115,4.17,1
1999116,4.18,1
1999117,4.20,1
1999118,4.24,1
1999119,4.27,1
1999120,4.30,1
1999121,4.38,1
1999122,4.45,1
1999123,4.53,1
1999124,4.58,1
1999125,4.65,1
1999126,4.77,1
1999127,4.90,1
1999128,5.00,1
1999129,5.03,1
1999130,5.01,1
1999131,4.96,1
1999132,4.93,1
1999133,4.87,1
1999134,4.80,1
1999135,4.73,1
1999136,4.65,1
1999137,4.56,1
1999138,4.47,1
1999139,4.42,1
1999140,4.40,1
1999141,4.41,1
1999142,4.43,1
1999143,4.45,1
1999144,4.50,1
1999145,4.53,1
1999146,4.58,1
1999147,4.60,1
1999148,4.69,1
1999149,4.74,1
1999150,4.81,1
1999151,4.86,1
1999152,4.93,1
1999153,4.98,1
1999154,5.01,1
1999155,5.02,1
1999156,5.01,1
1999157,4.98,1
1999158,4.94,1
1999159,4.90,1
1999160,4.87,1
1999161,4.85,1
1999162,4.89,1
1999163,4.87,1
1999164,4.84,1
1999165,4.74,1
1999166,4.67,1
1999167,4.62,1
1999168,4.58,1
1999169,4.57,1
1999170,4.57,1
1999171,4.58,1
1999172,4.61,1
1999173,4.70,1
1999174,4.83,4
1999175,4.97,4
1999176,5.08,4
1999177,5.18,4
1999178,5.26,4
1999179,5.31,4
1999180,5.34,4
1999181,5.34,4
1999182,5.35,1
1999183,5.34,1
1999184,5.32,1
1999185,5.27,1
1999186,5.17,1
1999187,5.09,1
1999188,5.04,1
1999189,5.04,1
